day eternity:200 replacement_initial_a:0.2 replacement_final_a:0 number_of_contact_events_per_day_a:40 pre_active_state_duration_1:4 pre_active_state_duration_2:2 active_state_duration_1:2 active_state_duration_2:0 transmission_probability_1_a:0.125 transmission_probability_2_a:0 days before configuration switch: 0 number_of_contact_events_per_day_b:0 replacement_initial_b:0 replacement_final_b:0 transmission_probability_1_b:0;;;;;;;;;;
day; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2
70;0.138937;0.271189;0.0823036;0.138937;0;0;0;0.187329;0.187329;0
71;0.139507;0.277444;0.0810563;0.139507;0;0;0;0.187329;0.187329;0
72;0.148041;0.273914;0.0859519;0.148041;0;0;0;0.187329;0.187329;0
73;0.153063;0.266068;0.0903721;0.153063;0;0;0;0.187329;0.187329;0
74;0.148768;0.264087;0.0888664;0.148768;0;0;0;0.187329;0.187329;0
75;0.141818;0.269451;0.0841265;0.141818;0;0;0;0.187329;0.187329;0
76;0.140545;0.275016;0.0821352;0.140545;0;0;0;0.187329;0.187329;0
77;0.146157;0.273856;0.085081;0.146157;0;0;0;0.187329;0.187329;0
78;0.151145;0.26794;0.0889639;0.151145;0;0;0;0.187329;0.187329;0
79;0.149316;0.265036;0.0888729;0.149316;0;0;0;0.187329;0.187329;0
80;0.143905;0.268123;0.0854695;0.143905;0;0;0;0.187329;0.187329;0
81;0.141699;0.2728;0.0832304;0.141699;0;0;0;0.187329;0.187329;0
82;0.145064;0.273176;0.0847357;0.145064;0;0;0;0.187329;0.187329;0
83;0.149426;0.269115;0.0878414;0.149426;0;0;0;0.187329;0.187329;0
84;0.149221;0.266071;0.0885497;0.149221;0;0;0;0.187329;0.187329;0
85;0.145317;0.26754;0.0862973;0.145317;0;0;0;0.187329;0.187329;0
86;0.142811;0.271222;0.0841558;0.142811;0;0;0;0.187329;0.187329;0
87;0.144549;0.272428;0.08468;0.144549;0;0;0;0.187329;0.187329;0
88;0.148055;0.269887;0.0869915;0.148055;0;0;0;0.187329;0.187329;0
89;0.148792;0.267117;0.0880677;0.148792;0;0;0;0.187329;0.187329;0
90;0.146203;0.267491;0.0867346;0.146203;0;0;0;0.187329;0.187329;0
91;0.143802;0.270191;0.0848901;0.143802;0;0;0;0.187329;0.187329;0
92;0.144432;0.271721;0.0848028;0.144432;0;0;0;0.187329;0.187329;0
93;0.147058;0.270319;0.0864074;0.147058;0;0;0;0.187329;0.187329;0
94;0.14824;0.268015;0.0875681;0.14824;0;0;0;0.187329;0.187329;0
95;0.146698;0.267714;0.0869129;0.146698;0;0;0;0.187329;0.187329;0
96;0.144623;0.269548;0.0854471;0.144623;0;0;0;0.187329;0.187329;0
97;0.144557;0.271081;0.0850242;0.144557;0;0;0;0.187329;0.187329;0
98;0.146389;0.270476;0.0860499;0.146389;0;0;0;0.187329;0.187329;0
99;0.147684;0.268696;0.0871256;0.147684;0;0;0;0.187329;0.187329;0
100;0.146915;0.268042;0.0869303;0.146915;0;0;0;0.187329;0.187329;0
101;0.145259;0.269175;0.0858463;0.145259;0;0;0;0.187329;0.187329;0
102;0.144804;0.270536;0.0852805;0.144804;0;0;0;0.187329;0.187329;0
103;0.145982;0.270447;0.0858636;0.145982;0;0;0;0.187329;0.187329;0
104;0.14719;0.269168;0.0867682;0.14719;0;0;0;0.187329;0.187329;0
105;0.146947;0.268387;0.0868555;0.146947;0;0;0;0.187329;0.187329;0
106;0.145716;0.268994;0.0861112;0.145716;0;0;0;0.187329;0.187329;0
107;0.145091;0.270104;0.085528;0.145091;0;0;0;0.187329;0.187329;0
108;0.145766;0.270317;0.0857947;0.145766;0;0;0;0.187329;0.187329;0
109;0.146788;0.269466;0.0864995;0.146788;0;0;0;0.187329;0.187329;0
110;0.14687;0.268703;0.0867366;0.14687;0;0;0;0.187329;0.187329;0
111;0.14602;0.268943;0.0862694;0.14602;0;0;0;0.187329;0.187329;0
112;0.145369;0.269785;0.0857421;0.145369;0;0;0;0.187329;0.187329;0
113;0.145684;0.270144;0.0857995;0.145684;0;0;0;0.187329;0.187329;0
114;0.146482;0.269633;0.0863111;0.146482;0;0;0;0.187329;0.187329;0
115;0.146739;0.268967;0.0866058;0.146739;0;0;0;0.187329;0.187329;0
116;0.146202;0.268972;0.0863487;0.146202;0;0;0;0.187329;0.187329;0
117;0.14561;0.269568;0.0859127;0.14561;0;0;0;0.187329;0.187329;0
118;0.145685;0.269969;0.0858452;0.145685;0;0;0;0.187329;0.187329;0
119;0.146267;0.269708;0.0861894;0.146267;0;0;0;0.187329;0.187329;0
120;0.146593;0.269173;0.086483;0.146593;0;0;0;0.187329;0.187329;0
121;0.146295;0.269044;0.0863743;0.146295;0;0;0;0.187329;0.187329;0
122;0.145803;0.269432;0.0860394;0.145803;0;0;0;0.187329;0.187329;0
123;0.145734;0.269812;0.0859088;0.145734;0;0;0;0.187329;0.187329;0
124;0.146127;0.269722;0.0861192;0.146127;0;0;0;0.187329;0.187329;0
125;0.146456;0.269322;0.0863788;0.146456;0;0;0;0.187329;0.187329;0
