day eternity:600 replacement_initial_a:0.06 replacement_final_a:0 number_of_contact_events_per_day_a:20 pre_active_state_duration_1:3 pre_active_state_duration_2:0 active_state_duration_1:4 active_state_duration_2:0 transmission_probability_1_a:0.03 transmission_probability_2_a:0 days before configuration switch: 0 number_of_contact_events_per_day_b:0 replacement_initial_b:0 replacement_final_b:0 transmission_probability_1_b:0 transmission_probability_2_b:0;;;;;;;;;;
day ; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2
1;0;1;0;0;0;0;0;0;0;0
2;4,68E+00;0.999953;7,81E+00;4,68E+00;0;0;0;4,68E+00;4,68E+00;0
3;9,09E+00;0.999865;0.000151465;9,09E+00;0;0;0;9,09E+00;9,09E+00;0
4;0.000132246;0.999741;0.000220452;0.000132246;0;0;0;0.000132246;0.000132246;0
5;0.000124297;0.999632;0.000207225;0.000124297;0;0;0;0.000132246;0.000132246;0
6;0.000102205;0.999552;0.000170408;0.000102205;0;0;0;0.000132246;0.000132246;0
7;0.000102057;0.999477;0.000170174;0.000102057;0;0;0;0.000132246;0.000132246;0
8;0.000121288;0.999387;0.000202258;0.000121288;0;0;0;0.000132246;0.000132246;0
9;0.000172187;0.999252;0.000287168;0.000172187;0;0;0;0.000172187;0.000172187;0
10;0.000192554;0.999104;0.000321179;0.000192554;0;0;0;0.000192554;0.000192554;0
11;0.000195535;0.998962;0.000326197;0.000195535;0;0;0;0.000195535;0.000195535;0
12;0.000192219;0.998832;0.000320707;0.000192219;0;0;0;0.000195535;0.000195535;0
13;0.00021582;0.998686;0.000360132;0.00021582;0;0;0;0.00021582;0.00021582;0
14;0.000255589;0.99851;0.00042656;0.000255589;0;0;0;0.000255589;0.000255589;0
15;0.000294397;0.998305;0.00049142;0.000294397;0;0;0;0.000294397;0.000294397;0
16;0.000322282;0.998084;0.000538076;0.000322282;0;0;0;0.000322282;0.000322282;0
17;0.000340929;0.997858;0.000569332;0.000340929;0;0;0;0.000340929;0.000340929;0
18;0.000369598;0.997617;0.000617348;0.000369598;0;0;0;0.000369598;0.000369598;0
19;0.000413569;0.997346;0.000690966;0.000413569;0;0;0;0.000413569;0.000413569;0
20;0.000469097;0.997037;0.000783958;0.000469097;0;0;0;0.000469097;0.000469097;0
21;0.00052134;0.996693;0.000871543;0.00052134;0;0;0;0.00052134;0.00052134;0
22;0.000569279;0.996322;0.000952015;0.000569279;0;0;0;0.000569279;0.000569279;0
23;0.000620662;0.995922;0.00103833;0.000620662;0;0;0;0.000620662;0.000620662;0
24;0.000684637;0.995482;0.00114583;0.000684637;0;0;0;0.000684637;0.000684637;0
25;0.000762246;0.994991;0.00127629;0.000762246;0;0;0;0.000762246;0.000762246;0
26;0.000846979;0.994445;0.00141888;0.000846979;0;0;0;0.000846979;0.000846979;0
27;0.000934415;0.993844;0.00156623;0.000934415;0;0;0;0.000934415;0.000934415;0
28;0.00102603;0.993187;0.00172084;0.00102603;0;0;0;0.00102603;0.00102603;0
29;0.00112906;0.992467;0.00189492;0.00112906;0;0;0;0.00112906;0.00112906;0
30;0.00124764;0.991671;0.00209549;0.00124764;0;0;0;0.00124764;0.00124764;0
31;0.00138076;0.99079;0.00232097;0.00138076;0;0;0;0.00138076;0.00138076;0
32;0.00152483;0.989818;0.00256544;0.00152483;0;0;0;0.00152483;0.00152483;0
33;0.00167944;0.988749;0.00282839;0.00167944;0;0;0;0.00167944;0.00167944;0
34;0.00184848;0.987576;0.00311649;0.00184848;0;0;0;0.00184848;0.00184848;0
35;0.00203668;0.986285;0.00343794;0.00203668;0;0;0;0.00203668;0.00203668;0
36;0.00224624;0.984861;0.00379674;0.00224624;0;0;0;0.00224624;0.00224624;0
37;0.0024764;0.983293;0.00419191;0.0024764;0;0;0;0.0024764;0.0024764;0
38;0.00272668;0.981569;0.00462307;0.00272668;0;0;0;0.00272668;0.00272668;0
39;0.00299918;0.979676;0.00509415;0.00299918;0;0;0;0.00299918;0.00299918;0
40;0.00329804;0.977597;0.00561276;0.00329804;0;0;0;0.00329804;0.00329804;0
41;0.00362687;0.975314;0.00618571;0.00362687;0;0;0;0.00362687;0.00362687;0
42;0.00398733;0.972808;0.00681665;0.00398733;0;0;0;0.00398733;0.00398733;0
43;0.00438013;0.97006;0.00750776;0.00438013;0;0;0;0.00438013;0.00438013;0
44;0.00480693;0.967049;0.00826299;0.00480693;0;0;0;0.00480693;0.00480693;0
45;0.00527102;0.963755;0.00908935;0.00527102;0;0;0;0.00527102;0.00527102;0
46;0.00577621;0.960154;0.00999499;0.00577621;0;0;0;0.00577621;0.00577621;0
47;0.00632538;0.956219;0.0109869;0.00632538;0;0;0;0.00632538;0.00632538;0
48;0.00692029;0.951926;0.0120703;0.00692029;0;0;0;0.00692029;0.00692029;0
49;0.00756248;0.947248;0.0132506;0.00756248;0;0;0;0.00756248;0.00756248;0
50;0.00825417;0.942158;0.0145348;0.00825417;0;0;0;0.00825417;0.00825417;0
51;0.00899809;0.936631;0.0159312;0.00899809;0;0;0;0.00899809;0.00899809;0
52;0.00979652;0.930637;0.0174482;0.00979652;0;0;0;0.00979652;0.00979652;0
53;0.0106506;0.924148;0.0190927;0.0106506;0;0;0;0.0106506;0.0106506;0
54;0.0115606;0.917138;0.0208705;0.0115606;0;0;0;0.0115606;0.0115606;0
55;0.0125262;0.909584;0.0227878;0.0125262;0;0;0;0.0125262;0.0125262;0
56;0.013547;0.901462;0.0248508;0.013547;0;0;0;0.013547;0.013547;0
57;0.0146219;0.892752;0.0270653;0.0146219;0;0;0;0.0146219;0.0146219;0
58;0.0157484;0.883439;0.0294358;0.0157484;0;0;0;0.0157484;0.0157484;0
59;0.0169226;0.87351;0.0319645;0.0169226;0;0;0;0.0169226;0.0169226;0
60;0.0181392;0.86296;0.0346518;0.0181392;0;0;0;0.0181392;0.0181392;0
61;0.0193917;0.851791;0.0374964;0.0193917;0;0;0;0.0193917;0.0193917;0
62;0.0206726;0.840011;0.0404953;0.0206726;0;0;0;0.0206726;0.0206726;0
63;0.0219728;0.827637;0.0436423;0.0219728;0;0;0;0.0219728;0.0219728;0
64;0.0232819;0.814697;0.0469281;0.0232819;0;0;0;0.0232819;0.0232819;0
65;0.024588;0.801227;0.0503394;0.024588;0;0;0;0.024588;0.024588;0
66;0.0258781;0.787275;0.0538593;0.0258781;0;0;0;0.0258781;0.0258781;0
67;0.0271386;0.7729;0.0574675;0.0271386;0;0;0;0.0271386;0.0271386;0
68;0.0283555;0.758171;0.0611397;0.0283555;0;0;0;0.0283555;0.0283555;0
69;0.0295148;0.743166;0.0648478;0.0295148;0;0;0;0.0295148;0.0295148;0
70;0.0306025;0.727973;0.0685599;0.0306025;0;0;0;0.0306025;0.0306025;0
71;0.0316054;0.71269;0.0722408;0.0316054;0;0;0;0.0316054;0.0316054;0
72;0.0325119;0.697416;0.0758529;0.0325119;0;0;0;0.0325119;0.0325119;0
73;0.0333118;0.682259;0.0793573;0.0333118;0;0;0;0.0333118;0.0333118;0
74;0.0339973;0.667327;0.0827143;0.0339973;0;0;0;0.0339973;0.0339973;0
75;0.0345627;0.652724;0.0858845;0.0345627;0;0;0;0.0345627;0.0345627;0
76;0.0350051;0.638556;0.0888304;0.0350051;0;0;0;0.0350051;0.0350051;0
77;0.035324;0.624918;0.0915174;0.035324;0;0;0;0.035324;0.035324;0
78;0.0355216;0.611902;0.0939154;0.0355216;0;0;0;0.0355216;0.0355216;0
79;0.0356027;0.599585;0.0959996;0.0356027;0;0;0;0.0356027;0.0356027;0
80;0.0355741;0.588036;0.0977516;0.0355741;0;0;0;0.0356027;0.0356027;0
81;0.0354442;0.577309;0.0991598;0.0354442;0;0;0;0.0356027;0.0356027;0
82;0.0352231;0.567448;0.10022;0.0352231;0;0;0;0.0356027;0.0356027;0
83;0.0349218;0.558479;0.100935;0.0349218;0;0;0;0.0356027;0.0356027;0
84;0.0345516;0.550419;0.101316;0.0345516;0;0;0;0.0356027;0.0356027;0
85;0.0341243;0.543269;0.101377;0.0341243;0;0;0;0.0356027;0.0356027;0
86;0.0336511;0.537022;0.101142;0.0336511;0;0;0;0.0356027;0.0356027;0
87;0.0331431;0.531658;0.100636;0.0331431;0;0;0;0.0356027;0.0356027;0
88;0.0326103;0.527148;0.0998895;0.0326103;0;0;0;0.0356027;0.0356027;0
