day eternity:600 replacement_initial_a:0.12 replacement_final_a:0 number_of_contact_events_per_day_a:20 pre_active_state_duration_1:3 pre_active_state_duration_2:0 active_state_duration_1:4 active_state_duration_2:0 transmission_probability_1_a:0.12 transmission_probability_2_a:0 days before configuration switch: 0 number_of_contact_events_per_day_b:0 replacement_initial_b:0 replacement_final_b:0 transmission_probability_1_b:0 transmission_probability_2_b:0;;;;;;;;;;
day ; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2
71;0.100817;0.159289;0.201837;0.100817;0;0;0;0.153587;0.153587;0
72;0.100821;0.159353;0.201778;0.100821;0;0;0;0.153587;0.153587;0
73;0.100826;0.159404;0.201736;0.100826;0;0;0;0.153587;0.153587;0
74;0.100833;0.159443;0.201709;0.100833;0;0;0;0.153587;0.153587;0
75;0.10084;0.159469;0.201695;0.10084;0;0;0;0.153587;0.153587;0
76;0.100848;0.159485;0.20169;0.100848;0;0;0;0.153587;0.153587;0
77;0.100854;0.159493;0.201693;0.100854;0;0;0;0.153587;0.153587;0
78;0.10086;0.159493;0.201702;0.10086;0;0;0;0.153587;0.153587;0
79;0.100865;0.159489;0.201714;0.100865;0;0;0;0.153587;0.153587;0
80;0.100869;0.159481;0.201727;0.100869;0;0;0;0.153587;0.153587;0
81;0.100872;0.159472;0.201741;0.100872;0;0;0;0.153587;0.153587;0
82;0.100874;0.159461;0.201755;0.100874;0;0;0;0.153587;0.153587;0
83;0.100875;0.159451;0.201767;0.100875;0;0;0;0.153587;0.153587;0
84;0.100876;0.159441;0.201777;0.100876;0;0;0;0.153587;0.153587;0
85;0.100876;0.159433;0.201786;0.100876;0;0;0;0.153587;0.153587;0
86;0.100875;0.159425;0.201792;0.100875;0;0;0;0.153587;0.153587;0
87;0.100875;0.15942;0.201797;0.100875;0;0;0;0.153587;0.153587;0
88;0.100874;0.159416;0.2018;0.100874;0;0;0;0.153587;0.153587;0
89;0.100873;0.159413;0.201801;0.100873;0;0;0;0.153587;0.153587;0
90;0.100872;0.159411;0.201802;0.100872;0;0;0;0.153587;0.153587;0
91;0.100872;0.15941;0.201802;0.100872;0;0;0;0.153587;0.153587;0
92;0.100871;0.15941;0.201801;0.100871;0;0;0;0.153587;0.153587;0
93;0.10087;0.15941;0.201799;0.10087;0;0;0;0.153587;0.153587;0
94;0.10087;0.159411;0.201798;0.10087;0;0;0;0.153587;0.153587;0
95;0.10087;0.159412;0.201796;0.10087;0;0;0;0.153587;0.153587;0
96;0.100869;0.159413;0.201795;0.100869;0;0;0;0.153587;0.153587;0
97;0.100869;0.159415;0.201793;0.100869;0;0;0;0.153587;0.153587;0
98;0.100869;0.159416;0.201792;0.100869;0;0;0;0.153587;0.153587;0
99;0.100869;0.159417;0.201791;0.100869;0;0;0;0.153587;0.153587;0
100;0.100869;0.159417;0.201791;0.100869;0;0;0;0.153587;0.153587;0
101;0.100869;0.159418;0.20179;0.100869;0;0;0;0.153587;0.153587;0
102;0.100869;0.159418;0.20179;0.100869;0;0;0;0.153587;0.153587;0
103;0.100869;0.159419;0.20179;0.100869;0;0;0;0.153587;0.153587;0
104;0.10087;0.159419;0.20179;0.10087;0;0;0;0.153587;0.153587;0
105;0.10087;0.159419;0.20179;0.10087;0;0;0;0.153587;0.153587;0
106;0.10087;0.159419;0.20179;0.10087;0;0;0;0.153587;0.153587;0
107;0.10087;0.159419;0.20179;0.10087;0;0;0;0.153587;0.153587;0
108;0.10087;0.159419;0.20179;0.10087;0;0;0;0.153587;0.153587;0
109;0.10087;0.159419;0.20179;0.10087;0;0;0;0.153587;0.153587;0
110;0.10087;0.159419;0.20179;0.10087;0;0;0;0.153587;0.153587;0
111;0.10087;0.159419;0.20179;0.10087;0;0;0;0.153587;0.153587;0
112;0.10087;0.159418;0.201791;0.10087;0;0;0;0.153587;0.153587;0
113;0.10087;0.159418;0.201791;0.10087;0;0;0;0.153587;0.153587;0
114;0.10087;0.159418;0.201791;0.10087;0;0;0;0.153587;0.153587;0
115;0.10087;0.159418;0.201791;0.10087;0;0;0;0.153587;0.153587;0
116;0.10087;0.159418;0.201791;0.10087;0;0;0;0.153587;0.153587;0
117;0.10087;0.159418;0.201791;0.10087;0;0;0;0.153587;0.153587;0
118;0.10087;0.159418;0.201791;0.10087;0;0;0;0.153587;0.153587;0
119;0.10087;0.159418;0.201791;0.10087;0;0;0;0.153587;0.153587;0
120;0.10087;0.159418;0.201791;0.10087;0;0;0;0.153587;0.153587;0
121;0.10087;0.159418;0.201791;0.10087;0;0;0;0.153587;0.153587;0
