day eternity:600 replacement_initial_a:0.015 replacement_final_a:0.01 number_of_contact_events_per_day_a:20 pre_active_state_duration_1:3 pre_active_state_duration_2:0 active_state_duration_1:4 active_state_duration_2:0 transmission_probability_1_a:0.03 transmission_probability_2_a:0 days before configuration switch: 0 number_of_contact_events_per_day_b:0 replacement_initial_b:0 replacement_final_b:0 transmission_probability_1_b:0 transmission_probability_2_b:0;;;;;;;;;;
day ; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2
65;0.000784064;0.587589;0.0022224;0.000784064;0;0;0;0.000784064;0.000784064;0
66;0.000813824;0.587086;0.00230867;0.000813824;0;0;0;0.000813824;0.000813824;0
67;0.000844562;0.586564;0.00239793;0.000844562;0;0;0;0.000844562;0.000844562;0
68;0.000876293;0.586023;0.00249025;0.000876293;0;0;0;0.000876293;0.000876293;0
69;0.000909042;0.585464;0.00258571;0.000909042;0;0;0;0.000909042;0.000909042;0
70;0.00094284;0.584884;0.00268441;0.00094284;0;0;0;0.00094284;0.00094284;0
71;0.000977707;0.584285;0.00278645;0.000977707;0;0;0;0.000977707;0.000977707;0
72;0.00101366;0.583664;0.00289189;0.00101366;0;0;0;0.00101366;0.00101366;0
73;0.0010507;0.583021;0.00300078;0.0010507;0;0;0;0.0010507;0.0010507;0
74;0.00108886;0.582357;0.00311318;0.00108886;0;0;0;0.00108886;0.00108886;0
75;0.00112814;0.58167;0.00322918;0.00112814;0;0;0;0.00112814;0.00112814;0
76;0.00116856;0.58096;0.00334885;0.00116856;0;0;0;0.00116856;0.00116856;0
77;0.00121014;0.580226;0.00347227;0.00121014;0;0;0;0.00121014;0.00121014;0
78;0.00125289;0.579467;0.00359948;0.00125289;0;0;0;0.00125289;0.00125289;0
79;0.0012968;0.578684;0.00373053;0.0012968;0;0;0;0.0012968;0.0012968;0
80;0.00134189;0.577875;0.00386547;0.00134189;0;0;0;0.00134189;0.00134189;0
81;0.00138816;0.57704;0.00400437;0.00138816;0;0;0;0.00138816;0.00138816;0
82;0.00143561;0.576178;0.00414726;0.00143561;0;0;0;0.00143561;0.00143561;0
83;0.00148425;0.575289;0.00429419;0.00148425;0;0;0;0.00148425;0.00148425;0
84;0.00153406;0.574373;0.00444518;0.00153406;0;0;0;0.00153406;0.00153406;0
85;0.00158504;0.573429;0.00460024;0.00158504;0;0;0;0.00158504;0.00158504;0
86;0.00163718;0.572456;0.00475941;0.00163718;0;0;0;0.00163718;0.00163718;0
87;0.00169047;0.571454;0.00492269;0.00169047;0;0;0;0.00169047;0.00169047;0
88;0.00174489;0.570423;0.00509007;0.00174489;0;0;0;0.00174489;0.00174489;0
89;0.00180042;0.569362;0.00526156;0.00180042;0;0;0;0.00180042;0.00180042;0
90;0.00185704;0.568271;0.00543713;0.00185704;0;0;0;0.00185704;0.00185704;0
91;0.00191471;0.567149;0.00561675;0.00191471;0;0;0;0.00191471;0.00191471;0
