day eternity:1600 replacement_initial_a:0.04 replacement_final_a:0 number_of_contact_events_per_day_a:5 pre_active_state_duration_1:2 pre_active_state_duration_2:2 active_state_duration_1:3 active_state_duration_2:3 transmission_probability_1_a:0.14 transmission_probability_2_a:0.25 days before configuration switch: 2000 number_of_contact_events_per_day_b:3 replacement_initial_b:0.04 replacement_final_b:0 transmission_probability_1_b:0.14 transmission_probability_2_b:0.15 transformation_period:1;
 day; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2;
64;0.023127;0.428805;0.0746491;0.023127;0;0;0;0.0405862;0.0405862;0;
65;0.0218283;0.429824;0.0704174;0.0218283;0;0;0;0.0405862;0.0405862;0;
66;0.0206394;0.431992;0.0663626;0.0206394;0;0;0;0.0405862;0.0405862;0;
67;0.0195587;0.435154;0.062533;0.0195587;0;0;0;0.0405862;0.0405862;0;
68;0.0185826;0.439165;0.0589591;0.0185826;0;0;0;0.0405862;0.0405862;0;
69;0.0177058;0.443893;0.0556573;0.0177058;0;0;0;0.0405862;0.0405862;0;
70;0.0169225;0.449214;0.0526325;0.0169225;0;0;0;0.0405862;0.0405862;0;
71;0.0162263;0.455019;0.0498816;0.0162263;0;0;0;0.0405862;0.0405862;0;
72;0.0156108;0.461208;0.0473956;0.0156108;0;0;0;0.0405862;0.0405862;0;
73;0.0150699;0.46769;0.0451621;0.0150699;0;0;0;0.0405862;0.0405862;0;
74;0.0145977;0.474384;0.0431659;0.0145977;0;0;0;0.0405862;0.0405862;0;
75;0.0141886;0.48122;0.0413914;0.0141886;0;0;0;0.0405862;0.0405862;0;
76;0.0138376;0.488134;0.0398224;0.0138376;0;0;0;0.0405862;0.0405862;0;
77;0.0135403;0.495068;0.0384433;0.0135403;0;0;0;0.0405862;0.0405862;0;
78;0.0132923;0.501973;0.0372392;0.0132923;0;0;0;0.0405862;0.0405862;0;
79;0.0130901;0.508804;0.0361962;0.0130901;0;0;0;0.0405862;0.0405862;0;
80;0.0129302;0.515522;0.0353015;0.0129302;0;0;0;0.0405862;0.0405862;0;
81;0.0128096;0.522091;0.0345434;0.0128096;0;0;0;0.0405862;0.0405862;0;
82;0.0127258;0.528482;0.0339114;0.0127258;0;0;0;0.0405862;0.0405862;0;
83;0.0126763;0.534666;0.033396;0.0126763;0;0;0;0.0405862;0.0405862;0;
84;0.0126589;0.540621;0.0329886;0.0126589;0;0;0;0.0405862;0.0405862;0;
85;0.0126718;0.546324;0.0326817;0.0126718;0;0;0;0.0405862;0.0405862;0;
86;0.0127131;0.551758;0.0324684;0.0127131;0;0;0;0.0405862;0.0405862;0;
87;0.0127813;0.556907;0.0323426;0.0127813;0;0;0;0.0405862;0.0405862;0;
88;0.0128749;0.561755;0.0322988;0.0128749;0;0;0;0.0405862;0.0405862;0;
89;0.0129925;0.566293;0.0323322;0.0129925;0;0;0;0.0405862;0.0405862;0;
90;0.0131327;0.570508;0.0324382;0.0131327;0;0;0;0.0405862;0.0405862;0;
91;0.0132943;0.574394;0.0326126;0.0132943;0;0;0;0.0405862;0.0405862;0;
92;0.0134759;0.577942;0.0328518;0.0134759;0;0;0;0.0405862;0.0405862;0;
93;0.0136762;0.581148;0.0331521;0.0136762;0;0;0;0.0405862;0.0405862;0;
94;0.013894;0.584008;0.0335099;0.013894;0;0;0;0.0405862;0.0405862;0;
95;0.0141278;0.58652;0.0339221;0.0141278;0;0;0;0.0405862;0.0405862;0;
96;0.0143764;0.588683;0.0343853;0.0143764;0;0;0;0.0405862;0.0405862;0;
97;0.0146381;0.590497;0.0348962;0.0146381;0;0;0;0.0405862;0.0405862;0;
98;0.0149115;0.591966;0.0354514;0.0149115;0;0;0;0.0405862;0.0405862;0;
99;0.0151949;0.593092;0.0360475;0.0151949;0;0;0;0.0405862;0.0405862;0;
100;0.0154866;0.593882;0.0366809;0.0154866;0;0;0;0.0405862;0.0405862;0;
101;0.0157849;0.594342;0.0373477;0.0157849;0;0;0;0.0405862;0.0405862;0;
102;0.0160877;0.594481;0.0380441;0.0160877;0;0;0;0.0405862;0.0405862;0;
103;0.0163931;0.594308;0.0387658;0.0163931;0;0;0;0.0405862;0.0405862;0;
104;0.0166992;0.593837;0.0395085;0.0166992;0;0;0;0.0405862;0.0405862;0;
105;0.0170038;0.593079;0.0402675;0.0170038;0;0;0;0.0405862;0.0405862;0;
106;0.0173048;0.592051;0.0410381;0.0173048;0;0;0;0.0405862;0.0405862;0;
107;0.0176001;0.590769;0.0418153;0.0176001;0;0;0;0.0405862;0.0405862;0;
108;0.0178876;0.589251;0.0425938;0.0178876;0;0;0;0.0405862;0.0405862;0;
109;0.0181652;0.587516;0.0433683;0.0181652;0;0;0;0.0405862;0.0405862;0;
110;0.018431;0.585584;0.0441336;0.018431;0;0;0;0.0405862;0.0405862;0;
111;0.018683;0.583478;0.0448843;0.018683;0;0;0;0.0405862;0.0405862;0;
112;0.0189195;0.581219;0.0456149;0.0189195;0;0;0;0.0405862;0.0405862;0;
