day eternity:600 replacement_initial_a:0.06 replacement_final_a:0 number_of_contact_events_per_day_a:20 pre_active_state_duration_1:2 pre_active_state_duration_2:2 active_state_duration_1:3 active_state_duration_2:0 transmission_probability_1_a:0.03 transmission_probability_2_a:0.045 days before configuration switch: 0 number_of_contact_events_per_day_b:0 replacement_initial_b:0 replacement_final_b:0 transmission_probability_1_b:0 transmission_probability_2_b:0;;;;;;;;;;
day; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2
65;0.0147577;0.874394;0.027883;0.0147577;0;0;0;0.0147577;0.0147577;0
66;0.0155009;0.866429;0.0295409;0.0155009;0;0;0;0.0155009;0.0155009;0
67;0.0162418;0.858202;0.0312329;0.0162418;0;0;0;0.0162418;0.0162418;0
68;0.0169751;0.849734;0.0329505;0.0169751;0;0;0;0.0169751;0.0169751;0
69;0.0176955;0.841055;0.0346841;0.0176955;0;0;0;0.0176955;0.0176955;0
70;0.0183971;0.832195;0.0364232;0.0183971;0;0;0;0.0183971;0.0183971;0
71;0.0190743;0.823189;0.0381562;0.0190743;0;0;0;0.0190743;0.0190743;0
72;0.0197215;0.814076;0.0398708;0.0197215;0;0;0;0.0197215;0.0197215;0
73;0.0203332;0.804898;0.0415541;0.0203332;0;0;0;0.0203332;0.0203332;0
74;0.0209045;0.7957;0.043193;0.0209045;0;0;0;0.0209045;0.0209045;0
75;0.0214307;0.786527;0.0447742;0.0214307;0;0;0;0.0214307;0.0214307;0
76;0.0219078;0.777428;0.0462846;0.0219078;0;0;0;0.0219078;0.0219078;0
77;0.0223325;0.768449;0.0477117;0.0223325;0;0;0;0.0223325;0.0223325;0
78;0.0227024;0.75964;0.0490437;0.0227024;0;0;0;0.0227024;0.0227024;0
79;0.0230158;0.751046;0.0502701;0.0230158;0;0;0;0.0230158;0.0230158;0
80;0.0232718;0.742711;0.0513816;0.0232718;0;0;0;0.0232718;0.0232718;0
81;0.0234706;0.734678;0.0523706;0.0234706;0;0;0;0.0234706;0.0234706;0
82;0.023613;0.726984;0.0532314;0.023613;0;0;0;0.023613;0.023613;0
83;0.0237007;0.719665;0.0539602;0.0237007;0;0;0;0.0237007;0.0237007;0
84;0.0237362;0.712749;0.0545551;0.0237362;0;0;0;0.0237362;0.0237362;0
85;0.0237226;0.706261;0.0550165;0.0237226;0;0;0;0.0237362;0.0237362;0
86;0.0236632;0.700222;0.0553464;0.0236632;0;0;0;0.0237362;0.0237362;0
87;0.0235622;0.694647;0.0555489;0.0235622;0;0;0;0.0237362;0.0237362;0
88;0.0234238;0.689544;0.0556297;0.0234238;0;0;0;0.0237362;0.0237362;0
89;0.0232522;0.684919;0.0555958;0.0232522;0;0;0;0.0237362;0.0237362;0
90;0.0230521;0.680772;0.0554555;0.0230521;0;0;0;0.0237362;0.0237362;0
91;0.0228278;0.677098;0.0552181;0.0228278;0;0;0;0.0237362;0.0237362;0
92;0.0225837;0.673888;0.0548934;0.0225837;0;0;0;0.0237362;0.0237362;0
93;0.0223238;0.671131;0.0544916;0.0223238;0;0;0;0.0237362;0.0237362;0
94;0.0220521;0.668811;0.0540232;0.0220521;0;0;0;0.0237362;0.0237362;0
95;0.0217722;0.66691;0.0534985;0.0217722;0;0;0;0.0237362;0.0237362;0
96;0.0214874;0.665408;0.0529274;0.0214874;0;0;0;0.0237362;0.0237362;0
97;0.0212007;0.664283;0.0523197;0.0212007;0;0;0;0.0237362;0.0237362;0
98;0.0209147;0.663511;0.0516844;0.0209147;0;0;0;0.0237362;0.0237362;0
99;0.0206318;0.663069;0.0510299;0.0206318;0;0;0;0.0237362;0.0237362;0
100;0.0203541;0.662931;0.050364;0.0203541;0;0;0;0.0237362;0.0237362;0
101;0.0200831;0.663072;0.0496936;0.0200831;0;0;0;0.0237362;0.0237362;0
102;0.0198205;0.663467;0.0490249;0.0198205;0;0;0;0.0237362;0.0237362;0
103;0.0195674;0.664091;0.0483635;0.0195674;0;0;0;0.0237362;0.0237362;0
104;0.0193247;0.664921;0.0477139;0.0193247;0;0;0;0.0237362;0.0237362;0
105;0.0190933;0.665933;0.0470804;0.0190933;0;0;0;0.0237362;0.0237362;0
106;0.0188737;0.667103;0.0464663;0.0188737;0;0;0;0.0237362;0.0237362;0
107;0.0186663;0.66841;0.0458744;0.0186663;0;0;0;0.0237362;0.0237362;0
108;0.0184714;0.669834;0.045307;0.0184714;0;0;0;0.0237362;0.0237362;0
109;0.0182891;0.671355;0.0447658;0.0182891;0;0;0;0.0237362;0.0237362;0
110;0.0181194;0.672955;0.0442522;0.0181194;0;0;0;0.0237362;0.0237362;0
111;0.0179622;0.674615;0.0437672;0.0179622;0;0;0;0.0237362;0.0237362;0
112;0.0178175;0.676321;0.0433114;0.0178175;0;0;0;0.0237362;0.0237362;0
113;0.017685;0.678056;0.042885;0.017685;0;0;0;0.0237362;0.0237362;0
114;0.0175644;0.679809;0.0424882;0.0175644;0;0;0;0.0237362;0.0237362;0
115;0.0174555;0.681565;0.0421208;0.0174555;0;0;0;0.0237362;0.0237362;0
116;0.0173578;0.683313;0.0417824;0.0173578;0;0;0;0.0237362;0.0237362;0
117;0.0172711;0.685043;0.0414726;0.0172711;0;0;0;0.0237362;0.0237362;0
118;0.0171948;0.686746;0.0411908;0.0171948;0;0;0;0.0237362;0.0237362;0
119;0.0171286;0.688412;0.0409361;0.0171286;0;0;0;0.0237362;0.0237362;0
120;0.017072;0.690036;0.0407078;0.017072;0;0;0;0.0237362;0.0237362;0
121;0.0170246;0.691609;0.0405051;0.0170246;0;0;0;0.0237362;0.0237362;0
122;0.0169859;0.693126;0.0403268;0.0169859;0;0;0;0.0237362;0.0237362;0
123;0.0169555;0.694583;0.0401722;0.0169555;0;0;0;0.0237362;0.0237362;0
124;0.0169329;0.695976;0.04004;0.0169329;0;0;0;0.0237362;0.0237362;0
125;0.0169176;0.697299;0.0399293;0.0169176;0;0;0;0.0237362;0.0237362;0
126;0.0169092;0.698552;0.0398391;0.0169092;0;0;0;0.0237362;0.0237362;0
127;0.0169072;0.699732;0.0397682;0.0169072;0;0;0;0.0237362;0.0237362;0
128;0.0169112;0.700837;0.0397155;0.0169112;0;0;0;0.0237362;0.0237362;0
129;0.0169207;0.701866;0.03968;0.0169207;0;0;0;0.0237362;0.0237362;0
130;0.0169353;0.702819;0.0396606;0.0169353;0;0;0;0.0237362;0.0237362;0
131;0.0169545;0.703695;0.0396562;0.0169545;0;0;0;0.0237362;0.0237362;0
132;0.0169779;0.704495;0.0396658;0.0169779;0;0;0;0.0237362;0.0237362;0
133;0.0170052;0.70522;0.0396882;0.0170052;0;0;0;0.0237362;0.0237362;0
134;0.0170358;0.705871;0.0397226;0.0170358;0;0;0;0.0237362;0.0237362;0
135;0.0170694;0.70645;0.0397677;0.0170694;0;0;0;0.0237362;0.0237362;0
136;0.0171055;0.706957;0.0398227;0.0171055;0;0;0;0.0237362;0.0237362;0
137;0.017144;0.707396;0.0398866;0.017144;0;0;0;0.0237362;0.0237362;0
138;0.0171842;0.707768;0.0399584;0.0171842;0;0;0;0.0237362;0.0237362;0
