day eternity:600 replacement_initial_a:0.12 replacement_final_a:0 number_of_contact_events_per_day:20 pre_active_state_duration_1:3 pre_active_state_duration_2:3 active_state_duration_1:4 active_state_duration_2:0 transmission_probability_1_a:0.03 transmission_probability_2_a:0 days before configuration switch: 0 replacement_initial_b:0 replacement_final_b:0 transmission_probability_1_b:0 transmission_probability_2_b:0;;;;;;;;;;
day ; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2
65;0.00053608;0.996407;0.000896435;0.00053608;0;0;0;0.00053608;0.00053608;0
66;0.00055441;0.996284;0.000927193;0.00055441;0;0;0;0.00055441;0.00055441;0
67;0.000573352;0.996157;0.000958983;0.000573352;0;0;0;0.000573352;0.000573352;0
68;0.000592927;0.996025;0.000991845;0.000592927;0;0;0;0.000592927;0.000592927;0
69;0.000613156;0.995889;0.00102581;0.000613156;0;0;0;0.000613156;0.000613156;0
70;0.000634059;0.995748;0.00106092;0.000634059;0;0;0;0.000634059;0.000634059;0
71;0.000655656;0.995603;0.00109721;0.000655656;0;0;0;0.000655656;0.000655656;0
72;0.000677969;0.995452;0.0011347;0.000677969;0;0;0;0.000677969;0.000677969;0
73;0.00070102;0.995297;0.00117345;0.00070102;0;0;0;0.00070102;0.00070102;0
74;0.000724834;0.995137;0.0012135;0.000724834;0;0;0;0.000724834;0.000724834;0
75;0.000749434;0.994971;0.00125487;0.000749434;0;0;0;0.000749434;0.000749434;0
76;0.000774844;0.994799;0.00129763;0.000774844;0;0;0;0.000774844;0.000774844;0
77;0.000801088;0.994622;0.0013418;0.000801088;0;0;0;0.000801088;0.000801088;0
78;0.000828192;0.994439;0.00138743;0.000828192;0;0;0;0.000828192;0.000828192;0
79;0.000856184;0.994251;0.00143458;0.000856184;0;0;0;0.000856184;0.000856184;0
80;0.000885089;0.994055;0.00148328;0.000885089;0;0;0;0.000885089;0.000885089;0
81;0.000914935;0.993854;0.00153358;0.000914935;0;0;0;0.000914935;0.000914935;0
82;0.000945751;0.993646;0.00158554;0.000945751;0;0;0;0.000945751;0.000945751;0
83;0.000977564;0.993431;0.0016392;0.000977564;0;0;0;0.000977564;0.000977564;0
84;0.00101041;0.993209;0.00169462;0.00101041;0;0;0;0.00101041;0.00101041;0
85;0.00104431;0.992979;0.00175185;0.00104431;0;0;0;0.00104431;0.00104431;0
86;0.0010793;0.992742;0.00181094;0.0010793;0;0;0;0.0010793;0.0010793;0
87;0.00111541;0.992498;0.00187196;0.00111541;0;0;0;0.00111541;0.00111541;0
88;0.00115267;0.992245;0.00193495;0.00115267;0;0;0;0.00115267;0.00115267;0
89;0.00119112;0.991985;0.00199998;0.00119112;0;0;0;0.00119112;0.00119112;0
